ID,四字熟語,意味
1,一意専心,他に心を動かされず、一つのことに集中すること。
2,温故知新,古いことを研究して、そこから新しい知識や見解を得ること。
3,臥薪嘗胆,将来の成功のために長い間苦労に耐えること。
4,切磋琢磨,仲間同士で励まし合い、学問や技芸を磨き上げること。
5,焼肉定食,焼いた肉を主菜とした定食。
6,暗中模索,手がかりのないまま、いろいろと試みること。
7,意気揚々,得意げで元気がいい様子。
8,以心伝心,言葉を使わなくても、互いの心が通じ合うこと。
9,一期一会,一生に一度限りの大切な出会いのこと。
10,一石二鳥,一つの行為で二つの利益を得ること。
11,一生懸命,命がけで物事に当たる様子。
12,一心不乱,一つのことに心を集中して、他のことに気を取られないこと。
13,右往左往,うろたえてあっちへ行ったりこっちへ来たりすること。
14,紆余曲折,事情が複雑に絡み合って、すんなり運ばないこと。
15,雲散霧消,雲や霧が消えるように、跡形もなく消えてなくなること。
16,栄枯盛衰,栄えたり衰えたりすることの繰り返し。
17,温厚篤実,穏やかで誠実、情が厚いこと。
18,外柔内剛,外見は穏やかだが、意志は非常に強いこと。
19,画龍点睛,物事を完成させるための、最後の大事な仕上げ。
20,花鳥風月,自然の美しい景色を楽しむ風流なこと。
21,隔世之感,時代の変化が激しく、別世界のようになったと感じること。
22,我田引水,自分の都合のよいように物事を進めること。
23,画蛇添足,余計な付け足しをして、せっかくのものを台無しにすること。
24,感慨多端,身にしみて深く感じることが多いこと。
25,冠婚葬祭,元服、婚礼、葬儀、祭礼の四大儀礼。
26,勧善懲悪,善を勧め、悪を懲らしめること。
27,完全無欠,欠点が全くなく、完璧であること。
28,危機一髪,極めて危険な状態に直面すること。
29,起死回生,絶望的な状態から立ち直らせること。
30,旗幟鮮明,自分の立場や態度がはっきりしていること。
31,喜怒哀楽,人間が持つ様々な感情のこと。
32,牛飲馬食,たくさん飲んだり食べたりすること。
33,急転直下,事態が急に変わり、一気に解決に向かうこと。
34,鏡花水月,目には見えるが手に取ることができないもののたとえ。
35,驚天動地,世間をひどく驚かせること。
36,興味津々,興味が尽きない様子。
37,虚心坦懐,先入観を持たず、素直な心で物事に臨むこと。
38,玉石混交,優れたものと劣ったものが混じっていること。
39,勤倹貯蓄,勤勉に働き、節約して蓄えること。
40,近進勇退,潔く地位を退くこと。
41,空前絶後,過去にも例がなく、将来も起こりそうにないこと。
42,空中楼閣,根拠のない架空のこと。
43,群雄割拠,多くの英雄が各地で勢力を競い合っていること。
44,軽挙妄動,よく考えずに軽はずみな行動をすること。
45,月下氷人,男女の仲を仲介する人。仲人。
46,牽強付会,自分に都合がいいように理屈をこじつけること。
47,乾坤一擲,運命を賭けて、のるかそるかの大勝負をすること。
48,言語道断,言葉で言い表せないほどひどいこと。
49,公平無私,自分の利益を考えず、公平に判断すること。
50,厚顔無恥,厚かましくて、恥を知らないこと。
51,剛毅木訥,意志が強く、口数が少なくて飾り気がないこと。
52,異口同音,多くの人が口をそろえて同じことを言うこと。
53,五里霧中,物事の様子が分からず、方針が立たないこと。
54,孤立無援,仲間がいなくて、助けてくれる人がいないこと。
55,五臓六腑,体内の内臓すべてのこと。
56,呉越同舟,仲の悪い者同士が同じ場所にいたり協力したりすること。
57,言行一致,言うことと行うことが同じであること。
58,才色兼備,才能と美貌の両方を備えていること。
59,三寒四温,冬から春にかけて、寒い日と暖かい日が交互に来ること。
60,山紫水明,山や水の景色が清らかで美しいこと。
61,自画自賛,自分のしたことを自分でほめること。
62,質実剛健,飾り気がなく真面目で、心身ともに強くたくましいこと。
63,試行錯誤,いろいろな方法を試して、失敗を重ねながら正解に近づくこと。
64,弱肉強食,強い者が弱い者を犠牲にして栄えること。
65,自由奔放,思いのままに振る舞うこと。
66,終始一貫,最初から最後まで方針が変わらないこと。
67,自由自在,自分の思い通りにできること。
68,取捨選択,良いものを取り、悪いものを捨てること。
69,順風満帆,物事がすべて順調に進むこと。
70,正々堂々,隠し事をせず、正しく立派な態度であること。
71,清廉潔白,心が清くて私欲がなく、後ろ暗いところがないこと。
72,千載一遇,千年に一度しか巡り会えないような、絶好の機会。
73,千差万別,種類や様子がさまざまに異なっていること。
74,前代未聞,これまでに一度も聞いたことがないような珍しいこと。
75,創意工夫,新しい方法を考え出し、いろいろと試みること。
76,大器晩成,偉大な人物は、才能が開花するまでに時間がかかること。
77,泰然自若,落ち着いていて、物事に動じない様子。
78,大胆不敵,度胸があって、全く恐れないこと。
79,多事多難,事件や困難が多いこと。
80,他力本願,自分の力ではなく、他人の力を頼りにすること。
81,単刀直入,前置きを省いて、いきなり本題に入ること。
82,朝令暮改,命令がすぐ変更されて、当てにならないこと。
83,猪突猛進,目標に向かって、向こう見ずに突き進むこと。
84,適材適所,能力に適した地位や仕事に配置すること。
85,徹頭徹尾,最初から最後まで考えが変わらないこと。
86,天真爛漫,素直で無邪気、飾らないこと。
87,電光石火,動きが非常に素早いことのたとえ。
88,独立独歩,他人の力を借りず、自分の信じる道を進むこと。
89,南船北馬,各地を絶えず忙しく旅行すること。
90,二者択一,二つのうち、どちらか一つを選ぶこと。
91,日進月歩,絶え間なく急速に進歩すること。
92,馬耳東風,人の意見を聞き流して、少しも心に留めないこと。
93,八方美人,誰からも嫌われないよう、愛想よく振る舞う人。
94,波瀾万丈,変化が激しく、劇的であること。
95,半信半疑,半分は信じているが、半分は疑っていること。
100,不言実行,理屈を言わず、黙ってなすべきことを実行すること。